Timestamp,Machine,Percent Idle
01/09/2016 00:00,RL1,
01/09/2016 01:00,RL1,
01/09/2016 02:00,RL1,
01/09/2016 03:00,RL1,
01/09/2016 04:00,RL1,
01/09/2016 05:00,RL1,
01/09/2016 06:00,RL1,
01/09/2016 07:00,RL1,0.019940476
01/09/2016 08:00,RL1,0.019970238
01/09/2016 09:00,RL1,0.021190476
01/09/2016 10:00,RL1,0.01375
01/09/2016 11:00,RL1,0.019166667
01/09/2016 12:00,RL1,0.030863095
01/09/2016 13:00,RL1,0.030863095
01/09/2016 14:00,RL1,0.033779762
01/09/2016 15:00,RL1,0.042470238
01/09/2016 16:00,RL1,0.0425
01/09/2016 17:00,RL1,0.033571429
01/09/2016 18:00,RL1,0.036815476
01/09/2016 19:00,RL1,0.035416667
01/09/2016 20:00,RL1,0.018988095
01/09/2016 21:00,RL1,0.018988095
01/09/2016 22:00,RL1,0.016011905
01/09/2016 23:00,RL1,0.018244048
02/09/2016 00:00,RL1,0.018392857
02/09/2016 01:00,RL1,0.043720238
02/09/2016 02:00,RL1,0.04047619
02/09/2016 03:00,RL1,0.048065476
02/09/2016 04:00,RL1,0.048065476
02/09/2016 05:00,RL1,0.09360119
02/09/2016 06:00,RL1,0.120625
02/09/2016 07:00,RL1,0.135386905
02/09/2016 08:00,RL1,0.135208333
02/09/2016 09:00,RL1,0.109880952
02/09/2016 10:00,RL1,0.109880952
02/09/2016 11:00,RL1,0.130089286
02/09/2016 12:00,RL1,0.136577381
02/09/2016 13:00,RL1,0.091041667
02/09/2016 14:00,RL1,0.074970238
02/09/2016 15:00,RL1,0.051696429
02/09/2016 16:00,RL1,0.051666667
02/09/2016 17:00,RL1,0.051755952
02/09/2016 18:00,RL1,0.051755952
02/09/2016 19:00,RL1,0.026845238
02/09/2016 20:00,RL1,0.020625
02/09/2016 21:00,RL1,0.025089286
02/09/2016 22:00,RL1,0.01422619
02/09/2016 23:00,RL1,0.011815476
03/09/2016 00:00,RL1,0.032470238
03/09/2016 01:00,RL1,0.032886905
03/09/2016 02:00,RL1,0.03297619
03/09/2016 03:00,RL1,0.033095238
03/09/2016 04:00,RL1,0.049970238
03/09/2016 05:00,RL1,0.065505952
03/09/2016 06:00,RL1,0.070238095
03/09/2016 07:00,RL1,0.070654762
03/09/2016 08:00,RL1,0.05
03/09/2016 09:00,RL1,0.050089286
03/09/2016 10:00,RL1,0.050654762
03/09/2016 11:00,RL1,0.043630952
03/09/2016 12:00,RL1,0.030565476
03/09/2016 13:00,RL1,0.010744048
03/09/2016 14:00,RL1,0.005922619
03/09/2016 15:00,RL1,0.005505952
03/09/2016 16:00,RL1,0.012410714
